goal_x,goal_y,init_x,init_y,ctrl_scale,obs_noise,process_noise,steps_used,converged,final_distance
0.8,0.8,-0.5,-0.5,2.5,0.01,0.01,500,false,0.270594
0.8,0.8,-0.5,-0.5,2.5,0.1,0.01,500,false,0.433148
0.8,0.8,-0.5,-0.5,5.0,0.01,0.01,353,true,0.047502
0.8,0.8,-0.5,-0.5,5.0,0.1,0.01,500,false,0.087847
0.8,0.8,-0.8,0.0,2.5,0.01,0.01,500,false,0.474851
0.8,0.8,-0.8,0.0,2.5,0.1,0.01,500,false,0.517028
0.8,0.8,-0.8,0.0,5.0,0.01,0.01,396,true,0.045665
0.8,0.8,-0.8,0.0,5.0,0.1,0.01,500,false,0.094007
0.5,0.2,-0.5,-0.5,2.5,0.01,0.01,500,false,0.060673
0.5,0.2,-0.5,-0.5,2.5,0.1,0.01,500,false,0.223497
0.5,0.2,-0.5,-0.5,5.0,0.01,0.01,287,true,0.047007
0.5,0.2,-0.5,-0.5,5.0,0.1,0.01,491,true,0.04868
0.5,0.2,-0.8,0.0,2.5,0.01,0.01,500,false,0.189516
0.5,0.2,-0.8,0.0,2.5,0.1,0.01,500,false,0.306067
0.5,0.2,-0.8,0.0,5.0,0.01,0.01,323,true,0.047519
0.5,0.2,-0.8,0.0,5.0,0.1,0.01,500,false,0.057657
